id,b,c,v,t
41006040,41,6,40,"They sat down in ranks, by hundreds and by fifties."
41006041,41,6,41,"He took the five loaves and the two fish, and looking up to heaven, he blessed and broke the loaves, and he gave to his disciples to set before them, and he divided the two fish among them all."
41006042,41,6,42,"They all ate, and were filled."
41006043,41,6,43,They took up twelve baskets full of broken pieces and also of the fish.
41006044,41,6,44,"Those who ate the loaves were{TR adds ""about""} five thousand men."
41006045,41,6,45,"Immediately he made his disciples get into the boat, and to go ahead to the other side, to Bethsaida, while he himself sent the multitude away."
41006046,41,6,46,"After he had taken leave of them, he went up the mountain to pray."
41006047,41,6,47,"When evening had come, the boat was in the midst of the sea, and he was alone on the land."
41006048,41,6,48,"Seeing them distressed in rowing, for the wind was contrary to them, about the fourth watch of the night he came to them, walking on the sea, and he would have passed by them,"
41006049,41,6,49,"but they, when they saw him walking on the sea, supposed that it was a ghost, and cried out;"
41006050,41,6,50,"for they all saw him, and were troubled. But he immediately spoke with them, and said to them, ""Cheer up! It is I!{Literally, ""I AM!""} Don't be afraid."""
41006051,41,6,51,"He got into the boat with them; and the wind ceased, and they were very amazed among themselves, and marveled;"
41006052,41,6,52,"for they hadn't understood about the loaves, but their hearts were hardened."
41006053,41,6,53,"When they had crossed over, they came to land at Gennesaret, and moored to the shore."
41006054,41,6,54,"When they had come out of the boat, immediately the people recognized him,"
41006055,41,6,55,"and ran around that whole region, and began to bring those who were sick, on their mats, to where they heard he was."
41006056,41,6,56,"Wherever he entered, into villages, or into cities, or into the country, they laid the sick in the marketplaces, and begged him that they might touch just the fringe of his garment; and as many as touched him were made well."
41007001,41,7,1,"Then the Pharisees, and some of the scribes gathered together to him, having come from Jerusalem."
41007002,41,7,2,"Now when they saw some of his disciples eating bread with defiled, that is, unwashed, hands, they found fault."
41007003,41,7,3,"(For the Pharisees, and all the Jews, don't eat unless they wash their hands and forearms, holding to the tradition of the elders."
41007004,41,7,4,"They don't eat when they come from the marketplace, unless they bathe themselves, and there are many other things, which they have received to hold to: washings of cups, pitchers, bronze vessels, and couches.)"
41007005,41,7,5,"The Pharisees and the scribes asked him, ""Why don't your disciples walk according to the tradition of the elders, but eat their bread with unwashed hands?"""
41007006,41,7,6,"He answered them, ""Well did Isaiah prophesy of you hypocrites, as it is written, 'This people honors me with their lips, But their heart is far from me."
41007007,41,7,7,"But in vain do they worship me, Teaching as doctrines the commandments of men.'"
41007008,41,7,8,"""For you set aside the commandment of God, and hold tightly to the tradition of men--the washing of pitchers and cups, and you do many other such things."""
41007009,41,7,9,"He said to them, ""Full well do you reject the commandment of God, that you may keep your tradition."
41007010,41,7,10,"For Moses said, 'Honor your father and your mother;' and, 'He who speaks evil of father or mother, let him be put to death.'"
